year,region,species_code,sex,sex_desc,iss,nss,nhls
1996,goa,10110,0,total_pre,4985.046559501373,56154,740
1996,goa,10110,1,male,1983.5417264837254,17822,690
1996,goa,10110,2,female,4236.8377841175425,38306,730
1996,goa,10110,4,total_post,4985.046144482865,56154,740
1996,goa,10110,12,female_male,6185.881911827982,56128,740
1996,goa,10130,0,total_pre,2821.678698437615,21416,417
1996,goa,10130,1,male,1416.853610007306,9975,379
1996,goa,10130,2,female,1991.2303839717804,11086,388
1996,goa,10130,4,total_post,2821.678745918894,21416,417
1996,goa,10130,12,female_male,2720.198179517652,21061,416
1996,goa,10180,0,total_pre,2235.161696193091,7125,406
1996,goa,10180,1,male,1132.6365080287524,3886,308
1996,goa,10180,2,female,1079.201423190582,3239,373
1996,goa,10180,4,total_post,2235.164827473386,7125,406
1996,goa,10180,12,female_male,2100.033276916746,7125,406
1996,goa,10200,0,total_pre,1936.7528966356654,14496,517
1996,goa,10200,1,male,1182.754594943825,7718,401
1996,goa,10200,2,female,1415.5636198262903,6768,487
1996,goa,10200,4,total_post,1936.7520706019632,14496,517
1996,goa,10200,12,female_male,2283.0259283118153,14486,517
1996,goa,10261,0,total_pre,1029.885101692624,8537,195
1996,goa,10261,1,male,459.7460930368747,3220,155
1996,goa,10261,2,female,957.6645329814514,5310,185
1996,goa,10261,4,total_post,1029.8850567843924,8537,195
1996,goa,10261,12,female_male,1257.8007848382513,8530,194
1996,goa,10262,0,total_pre,1342.0184732733428,8395,280
1996,goa,10262,1,male,393.8258325096199,1889,175
1996,goa,10262,2,female,1076.24828855575,6495,274
1996,goa,10262,4,total_post,1342.0187467369685,8395,280
1996,goa,10262,12,female_male,1364.5200043388772,8384,279
1996,goa,20510,0,total_pre,686.6359273768647,4621,356
1996,goa,20510,1,male,590.5356155897023,2707,312
1996,goa,20510,2,female,345.932227956094,1912,300
1996,goa,20510,4,total_post,686.6355953787759,4621,356
1996,goa,20510,12,female_male,860.9576944557942,4619,355
1996,goa,21720,0,total_pre,348.97504292628327,12019,534
1996,goa,21720,1,male,224.60609150614383,5888,462
1996,goa,21720,2,female,420.431991698078,6094,473
1996,goa,21720,4,total_post,348.9750467435473,12019,534
1996,goa,21720,12,female_male,556.9937002335054,11982,531
1996,goa,21740,0,total_pre,140.13933613125556,46668,653
1996,goa,21740,1,male,266.02668151802396,17698,572
1996,goa,21740,2,female,352.53094499003146,19555,576
1996,goa,21740,4,total_post,140.1393374714499,46668,653
