year,region,species_code,sex,age,mean_length_bs,sd_length_bs,mean_length,sd_length
1990,egoa,30060,0,21,40.168,0.8722869048910704,39.59,1.52
1990,egoa,30060,0,22,40.046,0.9909389486744367,40.31,0.91
1990,egoa,30060,0,23,41.18333333333334,1.4759319089985148,37.8,2.75
1990,egoa,30060,0,24,39.95099999999999,1.344977901511974,40.55,1.92
1990,egoa,30060,0,25,41.233000000000004,2.5365639488620553,41.09,1.87
1990,egoa,30060,0,26,41.3825,1.2610851336391666,42.98,2.05
1990,egoa,30060,0,27,41.708888888888886,1.9727420285255526,42.28,0.45
1990,egoa,30060,0,28,39.721999999999994,1.924178323914449,40.72,1.54
1990,egoa,30060,0,29,40.077777777777776,1.7287117875587132,39.04,2.07
1990,egoa,30060,0,30,40.92111111111112,1.5984714921171137,38.48,1.94
1990,egoa,30060,0,31,41.887142857142855,2.3262323922723502,41,0
1990,egoa,30060,0,32,40.49111111111111,1.3445207737744747,40.57,1.17
1990,egoa,30060,0,33,40.614285714285714,1.1174204989298218,NA,NA
1990,egoa,30060,0,34,40.366,1.4775294695312624,42,0
1990,egoa,30060,0,35,41.128888888888895,1.1603064729247672,39.92,1.16
1990,egoa,30060,0,36,41.3688888888889,1.4408716497700658,41.34,0.61
1990,egoa,30060,0,37,40.97777777777778,0.8983982660515571,40.3,1.08
1990,egoa,30060,0,38,42.2511111111111,1.719479895523967,41.59,3.4
1990,egoa,30060,0,39,40.64375,1.3899839413255308,44.66,1.69
1990,egoa,30060,0,40,41.45222222222222,1.3157391247676886,40.45,0.83
1990,egoa,30060,0,41,41.00888888888889,1.207812531443151,41,0
1990,egoa,30060,0,42,39.871428571428574,0.8512427889352646,40,0
1990,egoa,30060,0,43,39.95285714285715,1.1460179504951675,39.87,2
1990,egoa,30060,0,44,40.75857142857143,1.3306818874976414,40.14,0.99
1990,egoa,30060,0,45,39.928888888888885,1.106045257261705,41.45,3.04
1990,egoa,30060,0,46,40.56333333333333,3.2172141157633054,43,0
1990,egoa,30060,0,47,40.74125,2.427764624387746,39.17,2.38
1990,egoa,30060,0,48,39.8025,1.8433722978745857,42.27,2.17
1990,egoa,30060,0,49,41.333333333333336,3.011090610836324,38.25,0.86
1990,egoa,30060,0,50,38.583333333333336,0.5204164998665333,39,0
1990,egoa,30060,0,51,43.6,2.302172886644268,NA,NA
1990,egoa,30060,0,52,41,NA,42.57,0.76
1990,egoa,30060,0,53,40.926,1.8822274039020894,NA,NA
1990,egoa,30060,0,54,41.145714285714284,1.5514923691170934,NA,NA
1990,egoa,30060,0,55,43.25,0.9574271077563381,NA,NA
1990,egoa,30060,0,57,39,NA,NA,NA
1990,egoa,30060,0,58,40.23571428571428,1.4752723719464729,NA,NA
1990,egoa,30060,0,60,41.082,1.2420225440788104,NA,NA
1990,egoa,30060,0,61,40.6,0.6515695336208233,40.55,1.16
1990,egoa,30060,0,63,42.28857142857142,1.2166542726048437,NA,NA
1990,egoa,30060,0,64,41.0975,2.5095866193459035,NA,NA
1990,egoa,30060,0,66,43.333333333333336,2.309401076758503,NA,NA
1990,egoa,30060,0,68,44,NA,NA,NA
1990,egoa,30060,0,70,44,0,NA,NA
1990,egoa,30060,0,73,41.27571428571429,2.0604518690719043,NA,NA
1990,egoa,30060,0,78,39,NA,NA,NA
1990,egoa,30060,1,1,14,NA,NA,NA
1990,egoa,30060,1,2,19.18,1.7384558008268636,17.13,1.65
1990,egoa,30060,1,3,22.685,1.2033956585891072,20.21,1.72
1990,egoa,30060,1,4,24.303,0.8129650805675617,24.49,1.67
1990,egoa,30060,1,5,27.031,0.5534026061055777,26.84,1.63
1990,egoa,30060,1,6,28.650000000000006,0.9658617338361055,28.63,2.25
1990,egoa,30060,1,7,29.919999999999998,1.1476739761602828,30.21,2.77
